episode,avg_return,loss,theta_width_deg
518,752.814903,24.091695,5.00
519,705.504473,13.726440,5.00
520,765.729346,4.128715,5.00
521,703.728827,12.392007,5.00
522,768.153619,6.139280,5.00
523,769.873142,4.805468,5.00
524,639.599914,180.128381,5.00
525,802.336803,1.790003,5.00
526,756.240051,6.056568,5.00
527,771.583358,6.081122,5.00
528,752.995837,4.679662,5.00
529,761.264717,4.394258,5.00
530,609.231105,24.577167,5.00
531,652.653413,11.791968,5.00
532,769.130180,5.191468,5.00
533,694.912526,8.888148,5.00
534,701.603455,11.384730,5.00
535,791.251772,8.374332,5.00
536,742.046659,170.028528,5.00
537,799.495209,3.981916,5.00
538,741.662101,9.957279,5.00
539,781.524559,7.537054,5.00
540,736.839040,50.514270,5.00
541,750.560635,3.184203,5.00
542,781.318918,7.027393,5.00
543,778.347588,6.549905,5.00
544,744.505735,18.300353,5.00
545,681.092478,12.098892,5.00
546,721.233488,21.966520,5.00
547,735.331399,7.261574,5.00
548,736.945086,4.061944,5.00
549,792.179140,3.264008,5.00
550,768.204176,5.375635,5.00
551,798.664404,4.069284,5.00
552,768.585999,5.794602,5.00
553,693.786837,10.479902,5.00
554,746.901331,5.662853,5.00
555,707.485940,26.436821,5.00
556,603.601213,8.716382,5.00
557,736.406496,10.411979,5.00
558,744.732079,5.492909,5.00
559,712.852273,6.293481,5.00
560,778.632527,7.560884,5.00
561,701.644240,4.775224,5.00
562,785.635708,8.016063,5.00
563,761.704566,2.955516,5.00
564,795.339657,9.767467,5.00
565,786.930147,4.566564,5.00
566,741.832043,4.912177,5.00
567,775.258188,4.370276,5.00
568,716.633771,10.269183,5.00
569,771.218609,25.184481,5.00
570,763.451722,11.444970,5.00
571,638.825656,8.620004,5.00
572,683.012641,11.206777,5.00
573,744.139506,10.396131,5.00
574,753.255101,9.962588,5.00
575,707.867223,30.294692,5.00
576,741.260211,5.368293,5.00
577,607.903707,24.723333,5.00
578,752.970468,4.445664,5.00
579,656.111274,77.538718,5.00
580,729.209321,10.337847,5.00
581,779.356020,2.324080,5.00
582,756.948599,3.225886,5.00
583,800.383339,2.726098,5.00
584,649.064729,7.558914,5.00
585,690.794903,11.124686,5.00
586,766.066945,3.891009,5.00
587,726.553417,38.428036,5.00
588,739.307123,11.742256,5.00
589,672.445121,10.321459,5.00
590,650.265216,162.969318,5.00
591,719.656256,9.484993,5.00
592,681.348675,6.767186,5.00
593,715.083801,30.428326,5.00
594,781.232256,8.235927,5.00
595,763.000479,4.331555,5.00
596,678.557733,6.922583,5.00
597,772.552082,18.905285,5.00
598,781.633929,14.903992,5.00
599,795.228155,3.341272,5.00
600,650.190300,12.535293,5.00
601,591.715586,84.357561,5.00
602,636.022283,7.490934,5.00
603,781.684180,3.700936,5.00
604,628.936406,115.283543,5.00
605,726.654808,70.785472,5.00
606,749.656814,17.941233,5.00
607,782.704832,8.405288,5.00
608,674.773640,9.843685,5.00
609,774.520971,5.471451,5.00
610,742.822768,6.799138,5.00
611,741.393756,5.291076,5.00
612,691.693238,6.087360,5.00
613,786.064964,8.963977,5.00
614,752.081519,5.543867,5.00
615,746.009125,5.858371,5.00
616,731.228011,10.603591,5.00
617,796.629450,2.816038,5.00
618,753.923973,63.197049,5.00
619,671.374383,10.411172,5.00
620,784.446666,2.731502,5.00
621,755.843376,7.318842,5.00
622,803.607840,1.961534,5.00
623,699.352879,16.651019,5.00
624,676.617258,31.167495,5.00
625,781.032395,2.572100,5.00
626,694.878631,87.910356,5.00
627,742.610419,2.378140,5.00
628,785.122934,7.764622,5.00
629,752.153157,13.600737,5.00
630,714.841224,5.621630,5.00
631,684.895122,11.408144,5.00
632,768.813607,4.343784,5.00
633,726.799519,16.199411,5.00
634,782.633215,9.409719,5.00
635,663.364281,6.152893,5.00
636,799.926538,3.132902,5.00
637,593.939736,27.105383,5.00
638,750.105072,4.371434,5.00
639,753.075730,9.556165,5.00
640,633.571654,11.679498,5.00
641,726.633626,30.293964,5.00
642,729.184392,3.835339,5.00
643,712.154427,6.679626,5.00
644,724.686731,23.925343,5.00
645,714.591952,3.866197,5.00
646,729.606191,125.019482,5.00
647,707.410721,10.900117,5.00
648,757.154504,3.414409,5.00
649,739.982230,13.289787,5.00
650,790.343844,3.512867,5.00
651,634.228746,14.511611,5.00
652,799.625906,3.855775,5.00
653,703.072126,3.503094,5.00
654,788.659289,5.006656,5.00
655,691.905650,7.299419,5.00
656,747.735725,2.958432,5.00
657,750.023849,11.857031,5.00
658,782.289871,2.599793,5.00
659,789.386798,17.127786,5.00
660,758.858516,33.597118,5.00
661,780.378455,6.248686,5.00
662,698.864751,2.918692,5.00
663,746.100602,11.370040,5.00
664,776.837440,7.789664,5.00
665,774.340194,4.194819,5.00
666,752.462314,7.277627,5.00
667,759.142383,4.780055,5.00
668,787.003445,13.634904,5.00
669,770.303481,97.595739,5.00
670,765.947578,2.674104,5.00
671,814.947489,4.198579,5.00
672,747.403606,11.325089,5.00
673,639.025591,68.362107,5.00
674,749.611605,1.865041,5.00
675,725.110428,23.247327,5.00
676,720.969586,9.204675,5.00
677,691.874234,303.572677,5.00
678,721.726065,15.149254,5.00
679,786.056516,4.441976,5.00
680,613.162732,34.577977,5.00
681,770.088854,9.830926,5.00
682,716.652777,108.394592,5.00
683,757.137157,9.181653,5.00
684,786.273491,2.645388,5.00
685,689.677014,117.036028,5.00
686,754.895980,4.879443,5.00
687,753.629154,5.677247,5.00
688,799.637525,12.405902,5.00
689,659.646162,23.615737,5.00
690,781.924561,11.318516,5.00
691,744.103659,8.782986,5.00
692,767.692906,3.235156,5.00
693,679.144592,33.871154,5.00
694,779.873485,5.809231,5.00
695,792.247850,2.975508,5.00
696,662.240534,61.650620,5.00
697,760.888724,4.223530,5.00
698,761.302636,81.665627,5.00
699,746.168438,3.031106,5.00
700,742.033577,50.811473,5.00
701,598.918157,115.697210,5.00
702,780.873844,3.372169,5.00
703,702.946676,5.315817,5.00
704,715.281628,17.029615,5.00
705,669.312036,6.629978,5.00
706,739.215050,4.282124,5.00
707,766.780675,7.500683,5.00
708,715.243200,3.157737,5.00
709,758.487081,2.379472,5.00
710,793.269711,7.844036,5.00
711,642.014688,23.954620,5.00
712,807.307829,5.790292,5.00
713,518.520880,320.171424,5.00
714,763.921251,2.838341,5.00
715,687.048505,10.963894,5.00
716,768.402637,3.116917,5.00
717,786.323364,4.314669,5.00
718,780.718875,2.488293,5.00
719,743.704835,19.582675,5.00
720,643.523142,69.233807,5.00
721,729.551378,7.968424,5.00
722,727.484602,11.377836,5.00
723,782.654047,3.895768,5.00
724,683.581502,60.283172,5.00
725,717.308991,7.760627,5.00
726,596.588061,22.927304,5.00
727,667.241086,68.596235,5.00
728,756.055604,4.909879,5.00
729,670.986813,235.695515,5.00
730,637.200770,67.650832,5.00
731,752.796872,8.306198,5.00
732,716.504964,6.181716,5.00
733,786.204660,3.348962,5.00
734,689.439105,9.302216,5.00
735,688.149172,10.754619,5.00
736,741.361253,5.277851,5.00
737,763.119063,5.910240,5.00
738,755.866104,108.350619,5.00
739,631.441965,36.425607,5.00
740,714.973347,19.301670,5.00
741,710.803897,13.897449,5.00
742,655.711856,10.721109,5.00
743,738.200421,91.592110,5.00
744,715.876542,16.474978,5.00
745,746.691806,13.901224,5.00
746,642.278393,11.869338,5.00
747,766.342261,6.676517,5.00
748,752.254808,8.944807,5.00
749,749.477064,2.984546,5.00
750,750.508585,9.323869,5.00
751,733.804333,259.504436,5.00
752,680.866722,3.697108,5.00
753,668.729909,12.171479,5.00
754,708.670025,15.065449,5.00
755,643.323579,30.055475,5.00
756,653.973456,32.399891,5.00
757,724.565972,14.445611,5.00
758,687.492862,7.395084,5.00
759,669.001326,4.600936,5.00
760,717.981980,47.851775,5.00
761,631.542016,91.466683,5.00
762,725.104716,25.168884,5.00
763,549.100751,105.104410,5.00
764,699.809603,56.100006,5.00
765,618.021959,6.048059,5.00
766,677.981475,43.072182,5.00
767,547.067348,33.237666,5.00
768,677.382043,27.117469,5.00
769,626.329670,33.270150,5.00
770,711.508595,8.172200,5.00
771,732.066529,16.970321,5.00
772,741.071443,7.925463,5.00
773,694.834921,17.656668,5.00
774,718.425252,16.279138,5.00
775,663.328464,94.455024,5.00
776,676.466856,47.005020,5.00
777,666.945695,10.966374,5.00
778,665.997728,38.532225,5.00
779,730.251293,38.390874,5.00
780,726.308721,30.983658,5.00
781,720.430032,40.083067,5.00
782,683.686334,22.397422,5.00
783,686.515771,9.476646,5.00
784,753.042770,107.353027,5.00
